Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Quebec,,Manawan,Manawan,MAN,PWS,1,6,2015-09-15,2015-09-21,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,6,2007-08-02,2007-08-04,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,"2,6",2010-11-25,2010-11-28,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,"2,6",2010-12-08,2010-12-11,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,"2,6",2011-01-27,2011-01-31,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,2,2011-02-09,2011-02-18,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,2,2012-02-14,2012-02-17,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,"2,6",2012-02-23,2012-02-26,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,2,2012-08-16,2012-08-18,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,"6,8",2012-10-01,2012-10-03,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,8,2012-11-09,2012-11-10,,,,,,
Quebec,,Mashteuiatsh/Innu,Mashteuiatsh,MAS,PWS,1,8,2012-11-14,2012-11-16,,,,,,
Saskatchewan,,Piapot,Piapot,Piapot ,PWS,1,6,2010-04-07,2010-04-14,,,,,,
Saskatchewan,,Piapot,Piapot,Piapot ,PWS,1,1,2011-04-12,2011-05-18,,,,,,
Ontario,Thunder Bay,PIC MOBERT,Pic Mobert,Pic Mobert North - Upper Reserve ,PWS,1,3,2008-10-30,2008-11-06,,,,,,
Ontario,Thunder Bay,PIC MOBERT,Pic Mobert ,Pic Mobert North - Upper Reserve ,PWS,1,3,2009-02-25,2009-08-24,,,,,,
Ontario,Thunder Bay,PIC MOBERT,Pic Mobert ,Pic Mobert North - Upper Reserve ,PWS,1,2,2010-01-29,2016-06-16,,,,,,
Ontario,Thunder Bay,PIC MOBERT,Pic Mobert,Pic Mobert North - Upper Reserve ,PWS,1,"3, 5",2003-10-31,2006-08-11,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2017-03-01,2017-04-10,207,Bearskin Lake,-90.97214707,53.92403858,GCS_North_American_1983_CSRS,
Ontario,Thunder Bay,PIC MOBERT,Pic Mobert,Pic Mobert South - Lower Reserve ,PWS,1,"3, 5",2003-10-31,2006-08-11,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,6,2015-04-21,2015-04-27,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2010-09-18,2010-10-01,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2011-02-24,2011-02-28,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2013-02-01,2013-03-21,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2013-08-05,2013-08-07,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2014-07-28,2014-07-31,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2014-09-10,2014-09-12,,,,,,
Ontario,Thunder Bay,"OJIBWAYS OF PIC RIVER 
(Biigtigong Nishnaabeg)",Pic River First Nation,Pic River ,PWS,1,2,2015-02-05,2015-02-07,,,,,,
Ontario,Thunder Bay,HENVEY INLET FIRST NATION,HENVEY INLET,Pickerel River Village ,PWS,1,"2,6",2003-03-25,2003-04-04,,,,,,
Atlantic,,PAQ'TNKEK FIRST NATION,Afton,Afton ,PWS,1,4,2000-07-27,2000-11-29,,,,,,
Atlantic,,PICTOU LANDING,Pictou Landing,Pictou Landing,PWS,1,"1,2",2011-01-14,2011-01-26,,,,,,
Atlantic,,PICTOU LANDING,Pictou Landing,Pictou Landing,PWS,1,"2,5",2011-06-06,2011-07-13,,,,,,
Atlantic,,PICTOU LANDING,Pictou Landing,Pictou Landing ,PWS,1,2,2010-08-18,2010-08-20,,,,,,
Atlantic,,PICTOU LANDING,Pictou Landing,Pictou Landing ,PWS,1,4,1999-07-12,1999-09-28,,,,,,
Atlantic,,PICTOU LANDING,Pictou Landing,Pictou Landing ,PWS,1,4,2000-09-07,2000-12-15,,,,,,
Alberta,Treaty 6,Four Band Administration,Pigeon Lake,Pigeon Lake Recreation Centre ,SPWS,1,4,2005-09-05,2005-09-15,,,,,,
