Region,District,FirstNation,Community,Water System Name,System Type,Advisory Type,Advisory Reasons,Date Set,Date Revoked ,BAND_NUMBER,BAND_NAME,LONGITUDE,LATITUDE,COORD_SYS,
Quebec,,Algonquine/Kitigan,Zibi Kitigan Zibi,KIZ (Maniwaki Community system),PWS,1,4,2006-06-06,2006-07-03,,,,,,
Alberta,Treaty 8,Dene Tha',Bushe,5 Plex ,PWS,1,"2,4",2004-09-13,2006-09-01,,,,,,
Alberta,Treaty 8,Dene Tha',Bushe,5 Plex ,PWS,1,4,2008-07-11,2010-12-20,,,,,,
Ontario,Thunder Bay,CONSTANCE LAKE FIRST NATIONS,Constance Lake,A and J Sutherland Store ,SPWS,1,5,2010-02-14,2010-02-14,,,,,,
Alberta,Treaty 8,Sucker Creek,Sucker Creek,Administration Building/health Centre ,PWS,1,4,2009-04-14,2009-05-25,,,,,,
Ontario,Southern,ALGONQUINS OF PIKWAKANAGAN,Golden lake,Administration Office ,PWS,1,4,2008-07-07,2013-02-15,,,,,,
Ontario,Southern,Wahta Mohawk,Wahta PWS,Administration/Community centre ,SPWS,DNC,4,2013-09-11,None,,,,,,
Atlantic,,ABEGWEIT,Morell,Morell,PWS,1,3,2009-04-29,2015-11-17,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2006-05-02,2006-05-08,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2010-11-25,2011-01-07,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,5,2012-03-15,2012-04-05,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2012-12-13,2012-12-19,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2014-09-23,2014-09-26,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2015-11-14,2015-11-16,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2015-11-18,2015-11-20,,,,,,
Saskatchewan,,Ahtahkakoop,Ahtahkakoop,Ahtahkakoop ,PWS,1,2,2016-01-26,2016-01-29,,,,,,
Alberta,Treaty 7,Blood,Blood,Albert's Gas Bar ,SPWS,1,"r,12",2014-09-19,2014-11-20,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,"Alderville Admin. Building/
Learning Centre",SPWS,1,1,2015-10-16,2015-11-06,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,"Alderville Anishnaa Kwewag Gamig 
Services ",SPWS,1,"1,3",2016-01-28,2016-05-05,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,Alderville Community Centre/Daycare,SPWS,1,6,2013-05-29,2016-02-11,,,,,,
Ontario,Southern,Alderville First Nation,Alderville ,Alderville Elders Complex ,SPWS,1,2,2016-01-18,2016-02-17,,,,,,
Alberta,Treaty 6,Alexander,Alexander,Alexander Fort Assiniboine,PWS,1,"c,12",2011-08-31,2011-11-21,,,,,,
Pacific,"Northern District, Health Canada",ALEXANDRIA,Alexandria (West Side),Alexandria West ,PWS,1,4,2007-08-27,2007-10-10,,,,,,
Pacific,"Northern District, Health Canada",ALEXANDRIA,Alexandria (West Side),Alexandria West ,PWS,1,4,2011-10-04,2012-09-07,,,,,,
Pacific,"Northern District, Health Canada",ALEXANDRIA,Alexandria (West Side),Alexandria West ,PWS,1,4,2002-09-02,2005-10-27,,,,,,
Alberta,Treaty 6,Alexis,Alexis,Alexis,PWS,1,5,2007-06-25,2007-07-05,,,,,,
Alberta,Treaty 6,Alexis,Alexis,Alexis ,PWS,DNC,5,2010-05-17,2010-05-19,,,,,,
Alberta,Treaty 6,Alexis,Alexis,Alexis ,PWS,1,"r,3",2011-07-23,2011-07-29,,,,,,
Pacific,"Northern District, Health Canada",ALEXIS CREEK,Alexis Creek,Alexis Creek ,PWS,1,"4,6",2003-10-15,None,,,,,,
Alberta,Treaty 6,Alexis,Alexis,Alexis Island Well ,SPWS,1,"3,6",2007-08-21,2016-03-31,,,,,,
Ontario,Southern,MOHAWKS OF THE BAY OF QUINTE,Tyendinaga,All MBQ (Non-Transient) ,SPWS,1,1,2008-06-06,None,,,,,,
Ontario,Southern,MOHAWKS OF THE BAY OF QUINTE,Tyendinaga,All MBQ (Transient),SPWS,1,1,2008-06-06,None,,,,,,
Alberta,Treaty 8,Mikisew Cree,Allison Bay/Mikisew Cree,Allison Bay ,PWS,DNC,"o,5",2008-09-05,2008-09-08,,,,,,
Alberta,Treaty 8,Mikisew Cree,Allison Bay/Mikisew Cree,Allison Bay ,PWS,1,"f,3",2011-09-14,2011-12-09,,,,,,
Alberta,Treaty 8,Mikisew Cree ,Allison Bay/Mikisew Cree,Allison Bay ,PWS,1,"q,8",2015-02-12,2015-03-24,,,,,,
Ontario,Thunder Bay,NAICATCHEWENIN,Naicatchewenin First Nation,Amik Lodge ,SPWS,1,2,2010-11-08,2010-11-08,,,,,,
Pacific,"Northern District, Health Canada",TL'ETINQOX-T'IN GOV'T OFFICE,Anaham,Anaham ,PWS,1,"4,6",2004-10-04,2006-01-09,,,,,,
Pacific,"Northern District, Health Canada",TL'ETINQOX-T'IN GOV'T OFFICE,Anaham,Anaham ,PWS,1,4,2008-08-22,None,,,,,,
Ontario,Moose Factory,ALBANY,Fort Albany,Fort Albany,PWS,1,6,2016-11-27,2016-12-07,142,Albany,-81.683575,52.215309,GCS_North_American_1983_CSRS,
Atlantic,,ABEGWEIT,Morell,Morell ,PWS,1,"3,4",2005-04-05,2005-04-19,142,Albany,-81.683575,52.215309,GCS_North_American_1983_CSRS,
Alberta,Treaty 8,Sucker Creek,Sucker Creek,Arcadia Meats & Deli,SPWS,1,"k,13",2011-07-29,2011-09-22,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland ,Aroland ,PWS,1,4,2005-09-16,2005-10-20,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland,Aroland ,PWS,1,"2,3",2011-08-02,2011-08-19,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland,Aroland ,PWS,1,2,2014-12-02,2015-01-08,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland,Aroland ,PWS,1,2,2015-12-12,2016-01-15,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland ,Aroland Band Office ,SPWS,1,5,2007-07-11,2007-08-13,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland,Aroland ,SPWS,1,4,2010-04-06,2010-04-22,,,,,,
Pacific,"Central District, Health Canada",ASHCROFT,Ashcroft,Ashcroft,PWS,1,6,2010-10-12,2010-12-06,,,,,,
Pacific,"Central District, Health Canada",ASHCROFT,Ashcroft,Ashcroft ,PWS,DNC,1,2008-06-23,2008-07-17,,,,,,
Pacific,"Central District, Health Canada",ASHCROFT,Ashcroft,Ashcroft ,PWS,1,4,2001-01-01,2002-06-14,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,o,2009-12-21,2010-01-07,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,"o,8",2010-01-27,2010-02-10,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,"o,13",2011-01-18,2011-01-26,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,"o,8",2011-03-30,2011-04-15,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,m,2011-05-24,2011-10-11,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,"f,k",2013-07-11,2013-11-14,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWS,1,"i,k",2014-01-09,2014-03-27,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWs,1,"f,13",2015-02-02,2015-02-23,,,,,,
Alberta,Treaty 8,Atikameg ,Atikameg,Atikameg ,PWs,1,"a,8",2016-01-29,2016-02-10,,,,,,
Pacific,"Coastal District, Health Canada",TAKU RIVER TLINGIT,Atlin Town,Atlin Town,PWS,1,"1,3,5",2006-01-24,2006-04-18,,,,,,
Pacific,"Coastal District, Health Canada",TAKU RIVER TLINGIT,Atlin Town,Atlin Town,PWS,1,"2,3",2008-03-25,2008-03-31,,,,,,
Pacific,"Coastal District, Health Canada",TAKU RIVER TLINGIT,Atlin Town,Atlin Town,PWS,1,"3,6",2008-08-04,2008-08-28,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,3,2007-03-24,2007-03-30,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,2,2008-04-27,2009-02-20,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,2,2009-04-22,2009-04-29,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,2,2010-02-13,2010-02-18,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,"1,2",2012-05-28,2012-07-10,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2013-05-01,2013-05-09,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2013-08-27,2013-09-19,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2013-10-21,2013-10-28,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2013-11-18,2013-11-26,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2014-02-14,2014-03-14,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2014-05-29,2014-06-05,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2014-07-23,2014-08-01,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2015-05-30,2015-06-05,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2015-05-18,2015-05-28,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2015-03-31,2015-05-08,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2015-02-13,2015-02-27,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2016-02-14,2016-02-23,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,5,2002-02-02,2002-02-12,,,,,,
Ontario,Moose Factory,ATTAWAPISKAT,Attawapiskat,Attawapiskat ,PWS,1,6,2016-03-12,2016-04-08,,,,,,
Ontario,Thunder Bay,AROLAND FIRST NATIONS,Aroland,Aroland ,PWS,1,2,2016-03-09,2016-03-21,,,,,,
Ontario,Thunder Bay,Aundeck-omnikaning,Aundeck-omnikaning,Aundeck-omnikaning,PWS,1,2,2015-07-06,2015-07-09,,,,,,
Manitoba,,GOD'S LAKE FIRST NATION,God's Lake ,Austin Nazzie Pumphouse,PWS,1,2,2004-05-03,2004-05-17,,,,,,
Alberta,Treaty 8,Sucker Creek,Sucker Creek,Badger Towne Store Store,SPWS,1,4,2006-11-30,2006-12-22,,,,,,
Alberta,Treaty 8,Sucker Creek,Sucker Creek,Badger Towne Store Store,SPWS,1,4,2009-09-23,2009-10-26,,,,,,
Ontario,Thunder Bay,Wauzhushk Onigum (ANISHINABE OF WAUZHUSHK ONIGUM),Wauzhushk Onigum - Rat Portage,Bald Indian Bay ,PWS,1,"2,3",2012-05-11,None,,,,,,
Ontario,Thunder Bay,Wauzhushk Onigum (ANISHINABE OF WAUZHUSHK ONIGUM),Wauzhushk Onigum - Rat Portage,Bald Indian Bay ,PWS,1,3,2003-03-14,2004-06-28,,,,,,
Manitoba,,Swan Lake,Swan Lake,Band Office,PWS,1,12,2015-09-11,2015-09-22,,,,,,
Ontario,Sioux Lookout,SLATE FALLS NATION,New Slate Falls,Bandoffice / Clinic ,SPWS,1,"2,3,4",2004-07-07,None,,,,,,
Saskatchewan,,Beardy's & Okemasis,Beardy's & Okemasis,Beardy's & Okemasis ,PWS,1,2,2008-11-13,2009-11-19,,,,,,
Saskatchewan,,Beardy's & Okemasis,Beardy's & Okemasis,Beardy's & Okemasis ,PWS,1,2,2012-05-18,2012-05-24,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2009-05-24,2009-06-09,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2010-05-27,2010-06-07,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2011-05-22,2011-06-13,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2011-07-22,2011-08-10,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,5,2013-04-18,2013-05-06,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,6,2013-11-29,2013-12-13,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,6,2014-06-16,2014-07-15,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2014-08-21,2014-09-08,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2014-10-14,2014-10-27,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,2,2015-08-03,2015-10-02,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake ,PWS,1,6,2015-11-24,2016-04-04,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake Community Centre / Youth Centre,SPWS,DNC,6,2006-03-21,None,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake Community Centre / Youth Centre ,SPWS,1,3,2011-12-07,2012-02-08,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake Community Centre / Youth Centre ,SPWS,1,6,2013-11-29,2013-11-29,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake CWS,PWS,1,3,2002-02-21,2009-02-24,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake Daycare ,SPWS,1,4,2006-03-21,2010-01-26,,,,,,
Ontario,Sioux Lookout,BEARSKIN LAKE,Bearskin Lake,Bearskin Lake Nursing station,SPWS,1,5,2014-10-04,2015-05-20,,,,,,
Ontario,Thunder Bay,NIPISSING FIRST NATION,BEAUCAGE VILLAGE,Beaucage ,PWS,1,5,2007-04-16,2015-02-20,,,,,,
Alberta,Treaty 6,Beaver Lake Cree Nation,Beaver Lake,Beaver Lake ,PWS,1,6,2006-08-31,2006-09-21,,,,,,
Alberta,Treaty 6,Beaver Lake Cree Nation,Beaver Lake,Beaver Lake ,PWS,1,5,2007-01-23,2007-04-20,,,,,,
Alberta,Treaty 6,Beaver Lake Cree Nation,Beaver Lake,Beaver Lake ,PWS,1,6,2007-05-15,2007-11-28,,,,,,
Alberta,Treaty 6,Beaver Lake Cree Nation,Beaver Lake,Beaver Lake ,PWS,1,"a,8",2011-11-10,2011-11-20,,,,,,
Alberta,Treaty 6,Beaver Lake Cree Nation,Beaver Lake,Beaver Lake ,PWS,1,"a,11",2011-11-21,2011-11-25,,,,,,
Alberta,Treaty 6,Beaver Lake Cree Nation,Beaver Lake,Beaver Lake ,PWS,1,"a,k",2011-11-30,2011-12-21,,,,,,
Alberta,Treaty 7,Blood,Blood,Belly River Gas Station ,SPWS,1,"k,12",2009-06-26,2012-05-04,,,,,,
Alberta,Treaty 9,Beaver,Child Lake,Child Lake Multi-Purpose Building,SPWS,1,12,2015-10-16,2015-11-30,,,,,,
Pacific,"Central District, Health Canada",SKEETCHESTN,Benchland,Benchland ,PWS,1,4,2002-02-19,2002-06-14,,,,,,
Manitoba,,Beren's River First Nation,Berens River,Berens River ,PWS,1,3,2004-10-05,2004-10-28,,,,,,
Manitoba,,Beren's River First Nation,Berens River,Berens River ,PWS,1,6,2005-07-01,2006-08-21,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,2,2004-06-07,2004-06-11,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,2,2004-06-17,2004-06-22,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,2,2004-07-11,2005-01-17,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,2,2007-02-15,2007-03-02,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,5,2007-07-13,2007-08-07,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,"2,5",2008-03-11,2008-03-17,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,5,2009-02-10,2009-02-26,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,5,2010-07-08,2010-08-11,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,5,2010-12-23,2010-12-31,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,5,2011-04-04,2011-04-12,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,3,2011-06-17,2011-07-08,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,2,2013-06-18,2013-07-17,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,2,2013-11-14,2013-11-25,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,6,2014-05-30,2014-06-06,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,"1,5",2014-07-08,2015-02-13,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,3,2015-07-07,2015-10-06,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,"2,6",2015-06-11,2015-06-19,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,"1,5",2015-02-24,2015-03-04,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,"3,4",2003-07-17,2003-08-21,,,,,,
Ontario,Thunder Bay,BIG GRASSY,Big Grassy Community,Big Grassy ,PWS,1,3,2003-12-19,2003-12-24,,,,,,
Atlantic,,ABEGWEIT,Morell,Morell ,PWS,DNC,3,2010-04-27,2010-04-27,,,,,,
Ontario,Thunder Bay,ANISHNAABEG OF NAONGASHINING,Big Island First Nation,Big Island ,PWS,1,"2,6",2013-08-02,2013-08-06,,,,,,
Ontario,Thunder Bay,ANISHNAABEG OF NAONGASHINING,Big Island First Nation,Big Island ,PWS,1,2,2008-05-23,2008-05-30,,,,,,
Ontario,Thunder Bay,ANISHNAABEG OF NAONGASHINING,Big Island First Nation,Big Island ,PWS,1,2,2013-07-17,2013-07-22,,,,,,
Ontario,Thunder Bay,ANISHNAABEG OF NAONGASHINING,Big Island First Nation,Big Island ,PWS,1,2,2013-11-13,2013-11-27,,,,,,
Ontario,Thunder Bay,ANISHNAABEG OF NAONGASHINING,Big Island First Nation,Big Island ,PWS,1,4,2015-05-09,2015-05-19,,,,,,
Saskatchewan,,Big Island Lake Cree Nation,Big Island ,Big Island Lake ,PWS,1,2,2006-02-01,2006-03-29,,,,,,
Saskatchewan,,Big Island Lake Cree Nation,Big Island,Big Island Lake ,PWS,1,2,2010-12-06,2010-12-13,,,,,,
Saskatchewan,,Big Island Lake Cree Nation,Big Island ,Big Island Lake ,PWS,1,2,2012-06-27,2012-07-18,,,,,,
Saskatchewan,,Big Island Lake Cree Nation,Big Island ,Big Island Lake ,PWS,1,8,2013-08-20,None,,,,,,
Ontario,Sioux Lookout,KITCHENUHMAYKOOSIB INNINUWUG,Big Trout Lake,Big Trout Lake ,PWS,1,6,2005-11-18,2010-08-16,,,,,,
Ontario,Sioux Lookout,KITCHENUHMAYKOOSIB INNINUWUG,Big Trout Lake,Big Trout Lake ,PWS,1,3,2001-07-26,2003-02-11,,,,,,
Alberta,Treaty 7,Stoney Tribe,Bighorn,Bighorn ,PWS,1,"1,3",2007-09-30,2007-10-09,,,,,,
Alberta,Treaty 7,Stoney Tribe,Bighorn,Bighorn ,PWS,1,"o,f",2010-04-12,2010-10-05,,,,,,
Alberta,Treaty 7,Stoney Tribe,Bighorn,Bighorn Health Cntre ,SPWS,1,"r,12",2012-09-06,2012-11-05,,,,,,
Alberta,Treaty 7,Stoney Tribe,Bighorn,Bighorn ,PWS,1,"4,6",2001-11-27,2005-04-28,,,,,,
Alberta,Treaty 7,Stoney Tribe,Bighorn,Bighorn Ta-Otha School ,PWS,1,4,2006-09-14,2006-10-02,,,,,,
Pacific,"Coastal District, Health Canada",HUPACASATH FIRST NATION,Klehkoot,Bigmore ,PWS,1,4,2004-09-15,2005-10-03,,,,,,
Pacific,"Coastal District, Health Canada",HUPACASATH FIRST NATION,Klehkoot,Bigmore ,PWS,1,3,2006-06-07,2006-08-02,,,,,,
Pacific,"Coastal District, Health Canada",HUPACASATH FIRST NATION,Klehkoot,Bigmore ,PWS,1,"3,4",2007-06-25,2007-08-20,,,,,,
Pacific,"Coastal District, Health Canada",HUPACASATH FIRST NATION,Klehkoot,Bigmore ,PWS,1,"3,4",2013-08-22,2013-12-03,,,,,,
Pacific,"Northern District, Health Canada",TL'AZT'EN NATION,Binche (aka Pinchie),Binche ,PWS,1,"3,4",2006-04-12,None,,,,,,
Saskatchewan,,Saulteaux,Birch Lake,Birch Lake,PWS,1,3,2011-01-10,2011-02-17,,,,,,
Saskatchewan,,Saulteaux,Birch Lake,Birch Lake,PWS,1,2,2012-06-27,2012-07-31,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,6,2009-05-22,2009-05-28,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,6,2009-06-01,2009-07-16,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2009-07-31,2009-08-12,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2010-06-02,2010-06-10,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2011-02-03,2011-02-11,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2011-03-30,2011-04-08,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2011-06-07,2011-06-16,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2011-08-22,2011-08-26,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2011-08-29,2011-09-09,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2012-03-16,2012-06-29,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2012-07-11,2012-07-30,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2012-08-08,2012-08-22,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2012-08-24,2012-09-27,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2012-10-23,2012-10-31,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2013-04-05,2013-06-28,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2013-07-08,2013-07-11,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2014-04-24,2014-05-01,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2014-05-09,2014-05-16,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,2,2014-08-17,2014-08-22,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,8,2014-12-08,2014-12-12,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2015-01-19,2015-01-30,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2015-02-23,2015-03-06,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,3,2015-11-01,2015-11-11,,,,,,
Saskatchewan,,Birch Narrows,Birch Narrows,Birch Narrows ,PWS,1,5,2015-11-29,2015-12-11,,,,,,
Saskatchewan,,Black Lake Desuline First Nation,Black Lake,Black Lake ,PWS,1,2,2007-01-16,2009-09-17,,,,,,
Saskatchewan,,Black Lake First Nation,Black Lake,Black Lake ,PWS,1,1,2010-02-19,2010-05-31,,,,,,
Saskatchewan,,Black Lake First Nation,Black Lake,Black Lake ,PWS,1,6,2011-01-20,2011-02-18,,,,,,
Saskatchewan,,Black Lake First Nation,Black Lake,Black Lake ,PWS,1,2,2012-06-27,2012-06-28,,,,,,
Saskatchewan,,Black Lake First Nation,Black Lake,Black Lake ,PWS,1,2,2013-01-29,2013-03-11,,,,,,
Saskatchewan,,Black Lake First Nation,Black Lake,Black Lake ,PWS,1,2,2013-04-19,None,,,,,,
Saskatchewan,,Black Lake Desuline First Nation,Stoney Rapids,Stoney Rapids,PWS,1,8,2016-02-12,2016-02-19,,,,,,
Alberta,Treaty 7,Blood ,Blood,Blood Youth Ranch ,SPWS,1,"p,13",2006-06-26,2011-04-21,,,,,,
Manitoba,,BLOODVEIN,Bloodvein,Bloodvein,PWS,1,"3,12",2014-05-01,2014-06-18,,,,,,
Manitoba,,BLOODVEIN,Bloodvein,Bloodvein ,PWS,1,2,2009-07-28,2009-11-10,,,,,,
Alberta,Treaty 8,Sunchild,Sunchild,Blue Pumphouse Publc,PWS,1,"f,12",2010-12-02,2012-01-30,,,,,,
Pacific,"Northern District, Health Canada",Blueberry River,Blueberry River,Blueberry River ,PWS,1,"2,3",2011-01-24,2011-01-29,,,,,,
